EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,fight_date,f1_open_odds,f2_open_odds,f1_close_odds,f2_close_odds,f1_open_odds_ts,f2_open_odds_ts,f1_close_odds_ts,f2_close_odds_ts,f1_odds_history_points,f2_odds_history_points,odds_matched,odds_event,odds_matchup_id,odds_source_url,odds_inferred
UFC Fight Night: Smith vs. Spann,Gustavo Lopez vs. Alatengheili,D/D,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Tony Weeks 28 - 28.Derek Cleary 28 - 28.Sal D'amato 28 - 28.,http://ufcstats.com/fight-details/178756c3cb23b884,2021-09-18,127,-127,134,-134,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Smith vs. Spann,Emily Whitmire vs. Hannah Goldy,L/W,Women's Flyweight Bout,Submission ,1,4:17,3 Rnd (5-5-5),Chris Tognoni,Armbar From Guard ,http://ufcstats.com/fight-details/eb10feae98ea7d36,2021-09-18,-180.0,155.0,-126.0,104.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-18T20:03:29+00:00,2021-09-18T20:03:29+00:00,121.0,121.0,True,UFC Fight Night: Smith vs. Spann,24230.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Brunson vs. Till,Derek Brunson vs. Darren Till,W/L,Middleweight Bout,Submission ,3,2:13,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/14f2bb86fd888e91,2021-09-04,-102,102,-103,103,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Brunson vs. Till,Tom Aspinall vs. Serghei Spivac,W/L,Heavyweight Bout,KO/TKO ,1,2:30,3 Rnd (5-5-5),Mark Smith,Elbow to Head In Clinch ,http://ufcstats.com/fight-details/b977ffcc6428046f,2021-09-04,-122,122,-109,109,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Brunson vs. Till,Alex Morono vs. David Zawada,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 27 - 30.Sal D'amato 27 - 30.Bryan Miner 27 - 30.,http://ufcstats.com/fight-details/f09912e9d8eaa968,2021-09-04,-156,156,-157,157,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Brunson vs. Till,Modestas Bukauskas vs. Khalil Rountree Jr.,L/W,Light Heavyweight Bout,KO/TKO ,2,2:30,3 Rnd (5-5-5),Herb Dean,Kick to Leg At DistanceSide kick,http://ufcstats.com/fight-details/ad81be01a461c936,2021-09-04,-139,139,-109,109,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Brunson vs. Till,Paddy Pimblett vs. Luigi Vendramini,W/L,Lightweight Bout,KO/TKO ,1,4:25,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/8fc238e84c4624a7,2021-09-04,-107,107,-140,140,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Brunson vs. Till,Molly McCann vs. Ji Yeon Kim,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/06c0c7dda5a5909d,2021-09-04,-127,127,-125,125,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Brunson vs. Till,Jack Shore vs. Liudvik Sholinian,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 27 - 30.Ron McCarthy 27 - 30.Bryan Miner 27 - 30.,http://ufcstats.com/fight-details/4fc128b1bdf088b1,2021-09-04,-131,131,-143,143,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Brunson vs. Till,Julian Erosa vs. Charles Jourdain,W/L,Catch Weight Bout,Submission ,3,2:56,3 Rnd (5-5-5),Jason Herzog,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/3f76035e52e8819b,2021-09-04,129,-129,145,-145,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Brunson vs. Till,Dalcha Lungiambula vs. Marc-Andre Barriault,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Bryan Miner 27 - 30.,http://ufcstats.com/fight-details/a7c38d4d66abf923,2021-09-04,104,-104,111,-111,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Barboza vs. Chikadze,Edson Barboza vs. Giga Chikadze,L/W,Featherweight Bout,KO/TKO ,3,1:44,5 Rnd (5-5-5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/5cd1869013741767,2021-08-28,-150.0,130.0,-125.0,103.0,2021-07-06T21:56:07+00:00,2021-07-06T21:56:07+00:00,2021-08-29T04:56:29+00:00,2021-08-29T04:56:29+00:00,280.0,280.0,True,UFC on ESPN: Barboza vs. Chikadze,23459.0,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251,False
UFC Fight Night: Barboza vs. Chikadze,Bryan Battle vs. Gilbert Urbina,W/L,Middleweight Bout,Submission ,2,2:15,3 Rnd + OT (5-5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/5086f9fb4fdc2f60,2021-08-28,-129.0,-101.0,-200.0,166.0,2021-08-22T18:46:04+00:00,2021-08-22T18:46:04+00:00,2021-08-29T04:26:27+00:00,2021-08-29T04:26:27+00:00,122.0,122.0,True,UFC on ESPN: Barboza vs. Chikadze,24157.0,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251,False
