outcome,wins_f1,losses_f1,draws_f1,height_cm_f1,weight_in_kg_f1,reach_in_cm_f1,significant_strikes_landed_per_minute_f1,significant_striking_accuracy_f1,significant_strikes_absorbed_per_minute_f1,significant_strike_defence_f1,average_takedowns_landed_per_15_minutes_f1,takedown_accuracy_f1,takedown_defense_f1,average_submissions_attempted_per_15_minutes_f1,age_f1,stance_Open Stance_f1,stance_Orthodox_f1,stance_Sideways_f1,stance_Southpaw_f1,stance_Switch_f1,stance_Unknown_f1,rolling_win_rate_f1,wins_f2,losses_f2,draws_f2,height_cm_f2,weight_in_kg_f2,reach_in_cm_f2,significant_strikes_landed_per_minute_f2,significant_striking_accuracy_f2,significant_strikes_absorbed_per_minute_f2,significant_strike_defence_f2,average_takedowns_landed_per_15_minutes_f2,takedown_accuracy_f2,takedown_defense_f2,average_submissions_attempted_per_15_minutes_f2,age_f2,stance_Open Stance_f2,stance_Orthodox_f2,stance_Sideways_f2,stance_Southpaw_f2,stance_Switch_f2,stance_Unknown_f2,rolling_win_rate_f2,diff_wins,diff_losses,diff_draws,diff_height_cm,diff_weight_in_kg,diff_reach_in_cm,diff_significant_strikes_landed_per_minute,diff_significant_striking_accuracy,diff_significant_strikes_absorbed_per_minute,diff_significant_strike_defence,diff_average_takedowns_landed_per_15_minutes,diff_takedown_accuracy,diff_takedown_defense,diff_average_submissions_attempted_per_15_minutes,diff_age,diff_rolling_win_rate
1,7,2,0,193.04,83.91,195.58,6.51,69.0,3.37,23.0,0.0,0.0,0.0,1.2,27.0,0,0,0,1,0,0,0.0,10,5,1,187.96,83.91,200.66,1.97,44.0,2.64,53.0,1.3,31.0,33.0,0.2,30.0,0,1,0,0,0,0,0.4,-3,-3,-1,5.079999999999984,0.0,-5.079999999999984,4.54,25.0,0.73,-30.0,-1.3,-31.0,-33.0,1.0,-3.0,-0.4
0,10,7,11,167.64,61.23,167.64,3.52,56.0,4.71,51.0,0.46,23.0,64.0,1.3,34.0,0,1,0,0,0,0,0.6,8,0,0,175.26,61.23,172.72,2.77,48.0,2.47,41.0,3.5,53.0,0.0,0.0,32.0,0,0,0,1,0,0,1.0,2,7,11,-7.6200000000000045,0.0,-5.0800000000000125,0.75,8.0,2.2399999999999998,10.0,-3.04,-30.0,64.0,1.3,2.0,-0.4
0,17,5,0,170.18,56.7,172.72,1.78,40.0,1.76,50.0,2.4,47.0,50.0,1.8,32.0,0,1,0,0,0,0,0.4,18,10,1,170.18,56.7,170.18,3.24,44.0,3.94,50.0,3.99,49.0,56.0,0.7,35.0,0,0,0,1,0,0,0.6,-1,-5,-1,0.0,0.0,2.539999999999992,-1.4600000000000002,-4.0,-2.1799999999999997,0.0,-1.5900000000000003,-2.0,-6.0,1.1,-3.0,-0.19999999999999996
1,10,3,0,175.26,70.31,182.88,3.19,34.0,3.45,55.0,2.71,47.0,88.0,0.5,27.0,0,1,0,0,0,0,0.6,11,3,0,177.8,70.31,182.88,0.6,25.0,2.2,52.0,0.0,0.0,33.0,1.0,25.0,0,0,0,1,0,0,0.4109192890442891,-1,0,0,-2.5400000000000205,0.0,0.0,2.59,9.0,1.25,3.0,2.71,47.0,55.0,-0.5,2.0,0.18908071095571088
0,20,13,0,180.34,77.11,193.04,3.7,47.0,3.69,58.0,1.44,41.0,69.0,0.2,40.0,0,1,0,0,0,0,0.4,13,6,2,177.8,70.31,182.88,1.28,100.0,2.55,0.0,0.0,0.0,0.0,0.0,39.0,0,0,0,0,0,1,0.4109192890442891,7,7,-2,2.539999999999992,6.799999999999997,10.159999999999997,2.42,-53.0,1.1400000000000001,58.0,1.44,41.0,69.0,0.2,1.0,-0.010919289044289071
0,20,13,0,180.34,77.11,193.04,3.7,47.0,3.69,58.0,1.44,41.0,69.0,0.2,40.0,0,1,0,0,0,0,0.4,14,4,0,175.26,77.11,180.34,3.47,40.0,4.81,51.0,0.63,33.0,55.0,0.0,32.0,0,1,0,0,0,0,0.4109192890442891,6,9,0,5.0800000000000125,0.0,12.699999999999989,0.22999999999999998,7.0,-1.1199999999999997,7.0,0.8099999999999999,8.0,14.0,0.2,8.0,-0.010919289044289071
1,8,1,1,154.94,52.16,147.32,3.09,36.0,3.67,51.0,3.01,29.0,66.0,0.5,35.0,0,1,0,0,0,0,1.0,14,6,0,157.48,52.16,160.02,6.22,56.0,5.18,59.0,0.62,80.0,57.0,0.3,28.0,0,1,0,0,0,0,0.5,-6,-5,1,-2.539999999999992,0.0,-12.700000000000017,-3.13,-20.0,-1.5099999999999998,-8.0,2.3899999999999997,-51.0,9.0,0.2,7.0,0.5
0,22,10,0,177.8,77.11,180.34,3.16,48.0,3.68,52.0,2.04,35.0,53.0,0.4,39.0,0,1,0,0,0,0,1.0,14,2,1,185.42,77.11,185.42,4.02,48.0,3.09,56.0,1.63,50.0,57.0,0.7,34.0,0,1,0,0,0,0,0.8,8,8,-1,-7.619999999999976,0.0,-5.079999999999984,-0.8599999999999994,0.0,0.5900000000000003,-4.0,0.41000000000000014,-15.0,-4.0,-0.29999999999999993,5.0,0.19999999999999996
0,12,5,0,172.72,61.23,182.88,4.75,43.0,3.83,58.0,2.82,47.0,75.0,0.3,30.0,0,1,0,0,0,0,0.4,18,8,1,175.26,61.23,175.26,5.36,49.0,4.11,56.0,0.38,21.0,46.0,0.6,30.0,0,0,0,0,1,0,0.6,-6,-3,-1,-2.539999999999992,0.0,7.6200000000000045,-0.6100000000000003,-6.0,-0.28000000000000025,2.0,2.44,26.0,29.0,-0.3,0.0,-0.19999999999999996
0,14,4,1,182.88,70.31,190.5,8.26,58.0,5.03,54.0,0.0,0.0,100.0,0.0,36.0,0,1,0,0,0,0,0.4109192890442891,14,6,1,185.42,70.31,195.58,3.19,41.0,3.34,52.0,0.42,21.0,66.0,0.0,37.0,0,1,0,0,0,0,0.4,0,-2,0,-2.539999999999992,0.0,-5.0800000000000125,5.07,17.0,1.6900000000000004,2.0,-0.42,-21.0,34.0,0.0,-1.0,0.010919289044289071
1,15,4,0,170.18,56.7,172.72,3.47,44.0,3.46,51.0,2.63,46.0,75.0,0.5,37.0,0,1,0,0,0,0,0.4,19,7,0,165.1,56.7,170.18,2.24,38.0,2.74,52.0,1.93,50.0,26.0,1.6,32.0,0,1,0,0,0,0,0.6,-4,-3,0,5.0800000000000125,0.0,2.539999999999992,1.23,6.0,0.7199999999999998,-1.0,0.7,-4.0,49.0,-1.1,5.0,-0.19999999999999996
0,19,10,0,175.26,70.31,177.8,2.52,42.0,4.4,52.0,1.37,29.0,52.0,1.1,31.0,0,1,0,0,0,0,0.6,11,3,0,175.26,70.31,177.8,6.32,52.0,5.12,49.0,0.75,30.0,76.0,0.0,25.0,0,1,0,0,0,0,0.5,8,7,0,0.0,0.0,0.0,-3.8000000000000003,-10.0,-0.7199999999999998,3.0,0.6200000000000001,-1.0,-24.0,1.1,6.0,0.09999999999999998
0,12,6,0,175.26,65.77,177.8,4.21,43.0,4.79,48.0,0.62,27.0,75.0,0.2,28.0,0,0,0,0,1,0,0.25,18,2,0,167.64,65.77,177.8,7.01,47.0,6.65,52.0,0.0,0.0,100.0,0.0,27.0,0,1,0,0,0,0,0.4109192890442891,-6,4,0,7.6200000000000045,0.0,0.0,-2.8,-4.0,-1.8600000000000003,-4.0,0.62,27.0,-25.0,0.2,1.0,-0.1609192890442891
